,corrected,word,sum(cts)
0,with,"iwth, wiht, with, witth, wth, wtih",3462
1,defect,"defct, defect",2336
2,no,no,2268
3,and,and,2018
4,infiltrate,"infiiltrate, infilatrate, infilitrate, infilltrate, infiltarte, infiltrat, infiltrate, infiltratre, infitlrate, infitrate, inflitrate, infltrate, iniltrate",1897
5,epi,epi,1884
6,stromal,stromal,1667
7,of,of,1574
8,in,in,1547
9,haze,haze,1447
10,edema,edema,1347
11,mm,mm,1234
12,thinning,"thininng, thinning, thinnng",1082
13,diffuse,"dffiuse, diffuse, diffusse",1081
14,central,"cenetral, central, cetnral",1049
16,corneal,corneal,988
17,to,to,972
18,inferior,"infeirior, inferior, inferoir, nferior",891
19,at,at,788
20,mild,"mild, milld",768
21,area,area,756
22,spk,spk,734
23,place,place,716
24,epithelial,"epitehelial, epithelial, epithelilal, epitjhelial",672
25,nv,nv,668
26,graft,graft,639
27,scar,scar,638
28,sutures,sutures,615
29,inferiorly,"infeirorly, inferiorly, inferiorlyl",602
30,centrally,"ccentrally, centrally, centreally",599
31,pkp,pkp,592
32,anterior,"anteior, anteiror, anterior",589
33,overlying,"ovelrying, overlying, overyling, overylying",589
34,clear,"clear, cleatr",581
35,cornea,cornea,574
36,surrounding,"surounding, surreounding, surronding, surrouding, surroudning, surrounding, surrounging",562
37,punctate,punctate,516
39,bcl,bcl,502
40,superior,"suerior, superior, superiro",488
42,kp,kp,478
43,superficial,"superficial, superifical, superificial",477
44,intact,"intace, intacs, intact",452
45,vessels,vessels,444
46,small,"smal, small, smll",436
47,the,the,407
48,nasal,"nasal, nassal",398
49,staining,"staining, stainning",392
50,superiorly,"superioly, superiorly",384
51,nasally,"nasally, nasaslly",375
53,pee,pee,351
54,ulcer,"ucler, ulcer",348
55,neovascularization,neovascularization,328
56,irregular,irregular,327
57,epithelium,"epitheilum, epitheliam, epithelium, epithlium",315
58,but,but,315
59,glue,glue,306
60,stain,stain,306
61,temporal,"temporal, temproal",299
62,trace,trace,297
63,few,few,297
64,limbus,limbus,293
65,axis,"axis, vaxis",293
66,peripheral,"periopheral, peripheral",288
67,folds,folds,285
68,temporally,temporally,283
69,suture,suture,281
70,scarring,scarring,265
71,visual,visual,265
72,from,from,261
73,dense,dense,248
74,infiltrates,"infiltrates, infitlrates, iniltrates",247
75,deep,deep,242
76,seidel,seidel,239
77,pannus,pannus,231
78,negative,"negativ, negative",227
79,extending,extending,225
80,paracentral,"paracentral, paracentreal",225
81,endothelial,"endothelial, endothleial, endothlial, enothelial",219
82,ghj,ghj,217
83,plaque,"plaqu, plaque",211
84,areas,areas,211
85,underlying,underlying,207
86,is,is,206
87,on,on,205
88,opacity,"opacitiy, opacitty, opacity, opatcity",200
89,stable,stable,196
90,band,band,191
91,appears,appears,180
92,over,over,179
94,large,"large, larged",177
95,some,some,174
96,scattered,scattered,172
97,inflammation,"inflamation, inflammation",163
98,opacification,"opacificatiion, opacification",162
99,endo,endo,159
100,healed,healed,157
101,or,or,152
102,keratitis,keratitis,152
103,inf,inf,149
104,stroma,stroma,147
105,less,less,146
106,remaining,remaining,146
107,without,without,142
108,measuring,"measureing, measuring, meausring, mesasuring",142
109,loose,loose,141
110,thin,thin,139
111,kpro,kpro,138
112,into,into,137
113,pigment,pigment,134
114,significant,"significan, significant, significat",129
115,ring,ring,125
116,active,active,123
117,edge,edge,122
118,very,"tvery, very",122
119,improved,improved,121
120,defects,defects,120
121,most,most,120
122,resolved,resolved,120
123,keratoplasty,keratoplasty,118
124,surface,"srface, surface",118
125,not,not,118
126,flap,flap,117
127,tr,tr,115
128,crossing,crossing,113
129,fluorescein,"flourescein, fluorescein, fluoroscein, fluorscein, fluorsecein, fluroescein",113
131,inferonasal,inferonasal,112
132,approx,approx,112
133,inferonasally,inferonasally,112
134,fine,fine,110
135,prominent,"prominant, prominent",110
136,just,just,109
137,wbc,wbc,108
138,near,near,107
139,one,one,106
140,minimal,"minimal, minmal, minmial",105
141,penetrating,penetrating,105
142,round,round,104
143,tear,tear,104
144,about,"about, aobut",102
145,all,all,101
146,diffusely,diffusely,101
